from_city,to_city,distance_km,flights_per_day,flight_time_hr
City_03155,City_09024,1070.5,3,1.59
City_03155,City_00618,1502.4,2,2.05
City_03155,City_00670,1513.7,2,2.14
City_03155,City_01456,1152.3,4,1.63
City_03155,City_02789,1668.8,2,2.38
City_03155,City_06716,744.7,4,1.14
City_03155,City_04813,939.7,2,1.31
City_03155,City_04945,1250.9,5,1.82
City_05868,City_02005,1952.2,3,2.91
City_05868,City_03891,342.7,3,0.47
City_05868,City_02178,232.1,1,0.32
City_05868,City_01528,1399.0,3,1.88
City_05868,City_03117,892.5,1,1.32
City_05868,City_06484,1869.0,2,2.64
City_05868,City_00438,428.8,3,0.63
City_05868,City_08238,1563.0,4,2.15
City_07895,City_09905,2742.1,2,3.76
City_07895,City_08946,1917.7,3,2.57
City_07895,City_07743,3295.0,3,4.48
City_07895,City_06506,585.0,3,0.8
City_07895,City_01679,849.4,2,1.18
City_07895,City_00808,577.8,1,0.78
City_07895,City_03891,1995.7,6,2.73
City_07895,City_08688,2828.4,6,3.74
City_00691,City_06671,2492.7,3,3.21
City_00691,City_03490,2367.5,4,3.13
City_00691,City_06141,1249.7,2,1.79
City_00691,City_08932,808.2,3,1.2
City_00691,City_02940,3026.6,5,4.45
City_00691,City_01586,3490.7,4,4.99
City_00691,City_08885,1493.7,2,2.03
City_00691,City_05004,3165.2,2,4.58
City_09752,City_06787,2731.4,3,3.89
City_09752,City_01739,1009.0,2,1.41
City_09752,City_01827,301.8,3,0.41
City_09752,City_08226,1631.1,2,2.25
City_09752,City_00220,2506.3,1,3.25
City_09752,City_05035,1122.1,2,1.47
City_09752,City_07825,2623.3,2,3.91
City_09752,City_03836,2132.0,6,3.07
City_06590,City_05130,1158.4,6,1.54
City_06590,City_08809,863.4,1,1.11
City_06590,City_08430,3052.1,1,4.64
City_06590,City_07148,1107.6,3,1.5
City_06590,City_02261,1692.4,3,2.37
City_06590,City_02322,750.6,2,1.06
City_06590,City_05572,992.1,3,1.3
City_06590,City_08871,2422.2,4,3.54
City_03848,City_08280,1584.7,2,2.15
City_03848,City_08260,540.7,2,0.8
City_03848,City_00022,2566.3,5,3.49
City_03848,City_04658,1561.1,4,2.03
City_03848,City_09538,1435.0,1,1.99
City_03848,City_02272,1127.0,5,1.54
City_03848,City_01328,836.8,1,1.17
City_03848,City_03056,859.4,6,1.11
City_00304,City_09415,1667.4,4,2.47
City_00304,City_07943,1940.5,5,2.58
City_00304,City_06288,1465.8,1,2.19
City_00304,City_07879,2508.3,3,3.55
City_00304,City_02779,544.0,3,0.73
City_00304,City_00834,494.8,1,0.67
City_00304,City_03382,928.6,3,1.23
City_00304,City_06294,2201.7,1,3.3
City_01176,City_02205,585.6,1,0.85
City_01176,City_04266,1065.2,5,1.47
City_01176,City_03875,1977.7,6,2.88
City_01176,City_08943,1261.3,5,1.7
City_01176,City_08879,1088.1,2,1.64
City_01176,City_06589,1950.0,1,2.56
City_01176,City_04142,2696.3,1,4.13
City_01176,City_01863,1582.3,1,2.17
City_08184,City_09408,2751.7,3,4.01
City_08184,City_01498,1198.6,2,1.57
City_08184,City_07363,1937.2,3,2.57
City_08184,City_01514,1134.1,6,1.72
City_08184,City_09396,692.3,3,1.03
City_08184,City_04526,675.1,3,0.89
City_08184,City_06694,1167.3,5,1.62
City_03147,City_03851,1355.8,4,2.01
City_03147,City_09973,485.0,6,0.72
City_03147,City_03976,1718.1,6,2.61
City_03147,City_01499,1762.8,2,2.5
City_03147,City_05430,1625.2,2,2.24
City_03147,City_03943,1506.3,1,2.3
City_03147,City_09152,779.0,2,1.0
City_03147,City_06480,1412.8,5,2.04
City_08430,City_07148,3052.8,5,4.15
City_08430,City_06002,2960.7,1,4.45
City_08430,City_01897,3001.8,2,3.92
City_08430,City_09358,1391.8,4,2.1
City_08430,City_05297,4021.7,1,5.31
City_08430,City_09451,2243.8,6,3.23
City_08430,City_09376,1740.7,1,2.28
City_08430,City_03444,1634.9,6,2.15
City_00988,City_03210,1335.0,3,1.89
City_00988,City_07870,2290.4,3,3.27
City_00988,City_02711,1224.3,6,1.75
City_00988,City_06824,2451.1,2,3.36
City_00988,City_02757,2120.2,4,3.22
City_00988,City_03157,2599.3,1,3.65
City_00988,City_09524,2042.2,4,2.73
City_00988,City_07461,2133.8,6,2.84
City_08596,City_03490,844.2,3,1.19
City_08596,City_02280,217.5,3,0.33
City_08596,City_08364,1757.6,2,2.49
City_08596,City_09475,803.6,6,1.12
City_08596,City_07908,1622.9,1,2.31
City_08596,City_06687,1994.1,3,2.68
City_08596,City_02898,1480.1,6,2.0
City_08596,City_06943,1570.7,6,2.1
City_08518,City_08725,955.1,3,1.35
City_08518,City_09256,787.7,1,1.04
City_08518,City_04945,1551.7,5,2.34
City_08518,City_03522,1785.3,1,2.49
City_08518,City_01504,253.0,4,0.33
City_08518,City_09770,2156.0,1,3.19
City_08518,City_08348,1375.0,2,1.78
City_08518,City_08981,1188.8,1,1.59
City_09794,City_09830,890.4,4,1.25
City_09794,City_06706,2752.6,2,3.92
City_09794,City_01632,2236.1,6,3.38
City_09794,City_04474,1713.1,4,2.26
City_09794,City_06881,1677.2,3,2.3
City_09794,City_06823,282.7,6,0.41
City_09794,City_08547,1601.2,6,2.33
City_04420,City_06083,1146.8,4,1.63
City_04420,City_07287,2060.6,6,3.0
City_04420,City_05077,1935.1,4,2.85
City_04420,City_00022,2636.5,5,3.66
City_04420,City_07870,1660.4,3,2.3
City_04420,City_02322,818.8,4,1.11
City_04420,City_03523,2657.8,2,3.6
City_04420,City_02927,838.8,1,1.17
City_02482,City_04231,1913.5,5,2.78
City_02482,City_04029,1534.3,3,2.02
City_02482,City_03855,1067.1,6,1.4
City_02482,City_05535,1639.1,6,2.44
City_02482,City_09839,1034.5,2,1.43
City_02482,City_04729,1840.2,2,2.77
City_02482,City_00472,1060.8,5,1.52
City_02482,City_04945,1847.0,2,2.77
City_08000,City_00991,1335.5,6,2.04
City_08000,City_09486,990.2,2,1.42
City_08000,City_02796,1572.0,5,2.03
City_08000,City_09630,1957.6,3,2.76
City_08000,City_07291,2315.6,6,3.05
City_08000,City_07971,986.2,5,1.51
City_08000,City_03612,2477.8,4,3.18
City_08000,City_06077,885.7,2,1.24
City_01613,City_00601,1233.3,6,1.84
City_01613,City_04029,2247.2,3,3.34
City_01613,City_00472,769.5,3,1.02
City_01613,City_05440,1532.7,3,2.28
City_01613,City_07941,1255.3,2,1.84
City_01613,City_03851,2193.1,1,2.99
City_01613,City_07500,2708.5,2,4.02
City_01613,City_01728,1414.2,4,2.09
City_01529,City_03708,2156.7,2,3.24
City_01529,City_04592,1828.9,4,2.59
City_01529,City_00582,2871.3,5,4.05
City_01529,City_03983,353.7,5,0.46
City_01529,City_08376,661.9,1,0.87
City_01529,City_05909,1208.8,5,1.66
City_01529,City_08289,2445.0,5,3.33
City_01529,City_08697,2678.1,3,3.99
City_03560,City_00666,1876.1,2,2.87
City_03560,City_09164,669.2,5,0.9
City_03560,City_01559,1099.5,5,1.53
City_03560,City_03488,2354.6,6,3.27
City_03560,City_08200,1727.1,3,2.34
City_03560,City_08399,2257.1,3,3.27
City_03560,City_07217,2779.4,2,3.75
City_03560,City_05446,217.2,6,0.32
City_02022,City_04486,2303.9,3,3.21
City_02022,City_03983,2625.3,4,3.43
City_02022,City_05346,1810.0,6,2.47
City_02022,City_01056,2274.0,1,3.18
City_02022,City_08139,441.7,1,0.6
City_02022,City_00857,1506.3,2,2.24
City_02022,City_04658,1594.4,5,2.4
City_02022,City_07953,1548.8,5,2.24
City_09842,City_00315,1571.7,2,2.23
City_09842,City_02654,1229.2,4,1.67
City_09842,City_02854,2230.8,5,3.13
City_09842,City_05722,818.3,5,1.13
City_09842,City_00824,972.5,4,1.38
City_09842,City_08751,1867.6,1,2.69
City_09842,City_04581,1846.9,1,2.48
City_09842,City_01237,1377.4,6,1.94
City_07094,City_01841,1611.5,4,2.11
City_07094,City_02442,1891.2,5,2.62
City_07094,City_03802,1387.7,3,1.84
City_07094,City_07256,1192.4,4,1.76
City_07094,City_07037,2096.7,5,2.7
City_07094,City_00691,1152.0,3,1.55
City_07094,City_09116,1332.7,5,1.96
City_07094,City_00530,2660.4,1,4.05
City_01587,City_05320,1547.0,5,2.23
City_01587,City_03488,1964.5,3,2.81
City_01587,City_03464,717.5,4,1.02
City_01587,City_03542,2532.1,1,3.81
City_01587,City_05506,1676.7,5,2.51
City_01587,City_04420,1122.1,5,1.53
City_01587,City_03978,1580.3,2,2.24
City_01587,City_04281,1838.4,5,2.47
City_02243,City_04655,442.8,5,0.62
City_02243,City_03243,763.9,1,1.1
City_02243,City_07077,602.3,6,0.91
City_02243,City_05647,376.8,4,0.54
City_02243,City_01718,1376.7,4,1.87
City_02243,City_04765,1892.0,5,2.87
City_02243,City_07785,1400.6,6,1.92
City_07455,City_07830,492.6,4,0.64
City_07455,City_06477,2397.5,2,3.6
City_07455,City_06036,1262.5,6,1.93
City_07455,City_03723,1852.8,1,2.67
City_07455,City_05279,862.8,3,1.25
City_07455,City_04320,1910.9,5,2.88
City_07455,City_00483,1831.9,4,2.79
City_07455,City_09471,2864.6,4,3.73
City_05570,City_04231,875.7,5,1.13
City_05570,City_07619,756.8,5,1.01
City_05570,City_09569,874.7,2,1.33
City_05570,City_06235,538.4,1,0.69
City_05570,City_01087,1064.4,3,1.48
