from_city,to_city,distance_km,trains_per_day,travel_time_hr
City_04994,City_01154,2256.7,5,48.4
City_04994,City_07597,1888.3,1,36.5
City_04994,City_06230,1601.7,7,28.9
City_04994,City_02652,1634.6,10,36.0
City_04994,City_08705,777.4,3,15.6
City_04994,City_00826,1122.5,1,19.6
City_04994,City_02547,1830.4,5,29.1
City_04994,City_05088,1110.4,7,18.4
City_04994,City_07959,957.0,3,20.2
City_04994,City_02410,1710.0,8,29.6
City_04994,City_00184,2110.2,7,34.2
City_05548,City_06551,1586.5,7,24.8
City_05548,City_05475,1016.0,6,20.6
City_05548,City_01314,1767.6,8,35.8
City_05548,City_09223,344.2,1,6.7
City_05548,City_08856,1509.1,5,31.2
City_05548,City_04328,1360.9,10,30.2
City_05548,City_09623,308.0,8,5.2
City_05548,City_03876,2019.2,2,35.0
City_05548,City_00158,2013.1,7,42.0
City_05765,City_04043,1324.7,4,28.6
City_05765,City_00325,1794.5,10,29.4
City_05765,City_00077,1983.9,7,42.0
City_05765,City_07494,1922.1,1,35.2
City_05765,City_05377,835.6,1,15.6
City_05765,City_09641,1317.1,2,24.9
City_05765,City_00316,713.8,1,14.4
City_05765,City_03574,1633.8,8,35.4
City_05765,City_00769,1341.7,10,29.1
City_05765,City_03866,1806.8,2,38.1
City_05765,City_05204,1620.0,10,28.0
City_05765,City_09435,1282.7,8,23.8
City_02146,City_07235,2233.5,7,38.2
City_02146,City_08675,1997.9,2,35.1
City_02146,City_03854,2114.3,5,39.7
City_02146,City_05699,269.8,1,4.8
City_02146,City_03385,2436.4,10,46.2
City_02146,City_03257,2468.0,1,44.1
City_02146,City_02684,1624.7,5,28.3
City_02146,City_04551,1034.4,2,16.6
City_02146,City_06358,1972.9,3,34.5
City_02146,City_07010,1299.9,9,26.3
City_02146,City_01778,1002.6,9,17.2
City_03498,City_07839,688.6,8,12.3
City_03498,City_09435,1183.5,5,20.0
City_03498,City_06624,546.8,8,8.8
City_03498,City_03546,1078.3,9,19.5
City_03498,City_03913,1509.1,9,31.4
City_03498,City_09044,1609.2,4,29.7
City_03498,City_00223,1720.3,10,32.4
City_03498,City_01346,861.4,9,14.4
City_03498,City_00749,716.3,9,12.2
City_03498,City_08145,1284.7,3,23.8
City_03498,City_04797,2078.3,5,32.8
City_03498,City_03387,1996.0,3,31.3
City_05605,City_03099,1381.4,4,30.5
City_05605,City_06811,1165.4,1,20.7
City_05605,City_09530,1312.9,8,28.4
City_05605,City_09211,1013.0,6,20.2
City_05605,City_04875,1256.4,6,22.1
City_05605,City_06187,1453.8,6,32.1
City_05605,City_03513,809.8,4,13.1
City_05605,City_01747,1109.9,4,21.1
City_05605,City_05354,504.9,3,8.5
City_05605,City_09983,1022.9,2,22.1
City_05605,City_00211,1179.0,6,22.4
City_05605,City_08653,1637.3,9,25.4
City_04935,City_01674,1372.8,5,30.3
City_04935,City_08221,1102.0,3,17.5
City_04935,City_09645,2177.1,3,34.0
City_04935,City_01594,1131.4,7,22.1
City_04935,City_08821,877.6,10,15.2
City_04935,City_05091,2357.8,2,40.8
City_04935,City_09593,1223.9,8,26.3
City_04935,City_03550,661.5,6,14.3
City_04935,City_07176,1192.0,5,20.4
City_04935,City_07562,321.4,3,5.5
City_04935,City_01925,609.9,4,10.5
City_04935,City_07800,1468.6,6,23.3
City_06971,City_07000,2411.3,7,41.7
City_06971,City_05232,2315.9,8,35.8
City_06971,City_02402,1995.5,2,32.8
City_06971,City_00157,1616.4,2,25.8
City_06971,City_09526,162.7,10,3.5
City_06971,City_03146,1767.9,2,32.0
City_03407,City_04560,1409.3,2,23.8
City_03407,City_09207,1443.4,7,23.6
City_03407,City_04117,1898.3,1,41.7
City_03407,City_09149,482.3,8,8.5
City_03407,City_07718,2018.3,5,37.6
City_03407,City_07102,1136.7,5,22.5
City_03407,City_00603,2192.3,5,47.5
City_09650,City_03068,1154.1,6,19.7
City_09650,City_03613,2425.5,9,52.4
City_09650,City_05605,1187.6,2,20.8
City_09650,City_05279,1291.0,4,22.5
City_09650,City_06499,1662.8,3,30.3
City_09650,City_06753,2034.5,10,32.4
City_09650,City_09291,1688.2,2,29.4
City_09650,City_09785,1707.6,3,31.8
City_09650,City_04029,540.4,9,9.5
City_09650,City_02836,1515.4,1,26.4
City_09650,City_02810,1767.2,7,27.6
City_05501,City_03403,715.0,1,12.4
City_05501,City_04081,1664.5,9,35.8
City_05501,City_07945,605.6,5,11.8
City_05501,City_03023,1950.0,2,36.4
City_05501,City_06173,1487.2,7,23.8
City_05501,City_09161,1466.5,7,31.3
City_05501,City_09481,592.4,8,9.8
City_05501,City_05951,1152.9,3,18.7
City_05501,City_01424,1727.9,5,35.8
City_05501,City_01659,780.4,1,14.7
City_05501,City_09879,1269.3,8,27.6
City_05501,City_06576,292.2,1,5.6
City_01260,City_08155,966.8,9,16.1
City_01260,City_04574,1096.9,6,19.6
City_01260,City_07408,1438.0,5,22.1
City_01260,City_06441,651.9,1,13.0
City_01260,City_03838,1575.3,8,28.8
City_01260,City_03857,1658.2,10,25.7
City_01260,City_05022,2247.8,6,38.1
City_01260,City_09275,902.3,3,17.8
City_01260,City_05745,1151.7,1,25.2
City_01260,City_08168,1692.7,1,34.6
City_01260,City_04900,1827.5,6,39.5
City_01260,City_04180,1370.0,9,22.0
City_05944,City_03264,667.0,2,12.4
City_05944,City_08760,1523.1,10,27.1
City_05944,City_03346,1368.8,7,28.2
City_05944,City_06249,1502.1,3,25.6
City_05944,City_02020,354.3,10,6.9
City_05944,City_07422,373.7,8,7.0
City_05944,City_09916,1191.2,2,20.8
City_05944,City_08789,763.4,10,11.9
City_05944,City_07232,784.1,6,12.6
City_05944,City_02037,1033.3,4,21.3
City_05944,City_02115,758.2,6,16.3
City_05944,City_02757,1166.0,10,25.5
City_04479,City_06249,396.0,1,8.3
City_04479,City_05569,510.3,7,10.3
City_04479,City_05284,852.4,5,13.4
City_04479,City_07386,894.7,3,13.8
City_04479,City_04953,2499.1,8,39.4
City_04479,City_01165,1921.2,8,32.6
City_04479,City_00223,620.8,8,13.5
City_04479,City_03797,1739.6,6,30.8
City_04479,City_01241,1836.8,3,34.4
City_04479,City_05774,1942.9,3,39.1
City_04613,City_00033,1728.2,6,28.9
City_04613,City_03209,1484.2,5,30.3
City_04613,City_08299,1179.8,5,23.5
City_04613,City_04854,1802.4,3,38.5
City_04613,City_05027,1664.6,9,28.9
City_04613,City_00135,1605.4,2,33.9
City_04613,City_09513,1248.6,6,22.9
City_04613,City_00749,289.3,10,5.7
City_04613,City_05744,1100.8,2,18.8
